# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
74580at33090	Complete	L_sativa_g037842.t1	574.9	398	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	L_sativa_g028597.t1	351.1	297	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Complete	L_sativa_g002369.t1	412.0	316	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Missing
76849at33090	Complete	L_sativa_g038957.t1	718.1	460	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Complete	L_sativa_g000318.t1	431.3	273	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Complete	L_sativa_g037788.t1	604.3	347	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	L_sativa_g009809.t1	626.6	346	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	L_sativa_g038491.t1	618.6	643	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	L_sativa_g031065.t1	1197.2	735	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	L_sativa_g036556.t1	277.0	242	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	L_sativa_g048435.t1	438.2	321	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	L_sativa_g049266.t1	461.2	323	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	L_sativa_g011796.t1	560.9	390	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	L_sativa_g049271.t1	889.8	543	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	L_sativa_g036756.t1	516.1	332	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
90301at33090	Complete	L_sativa_g005916.t1	677.9	372	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	L_sativa_g028384.t1	634.1	340	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	L_sativa_g042926.t1	575.4	293	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	L_sativa_g003904.t1	480.1	321	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
95807at33090	Fragmented	L_sativa_g015832.t1	324.8	264	https://v10-1.orthodb.org/?query=95807at33090	ApaG domain
96953at33090	Complete	L_sativa_g040481.t1	367.0	270	https://v10-1.orthodb.org/?query=96953at33090	WD40-repeat-containing domain
97593at33090	Complete	L_sativa_g011799.t1	440.4	298	https://v10-1.orthodb.org/?query=97593at33090	Origin recognition complex subunit 4
101241at33090	Complete	L_sativa_g027050.t1	530.5	338	https://v10-1.orthodb.org/?query=101241at33090	Actin family
101701at33090	Complete	L_sativa_g011035.t1	785.4	509	https://v10-1.orthodb.org/?query=101701at33090	Nucleotide-diphospho-sugar transferases
102307at33090	Complete	L_sativa_g012573.t1	579.4	294	https://v10-1.orthodb.org/?query=102307at33090	WD40 repeat
103267at33090	Complete	L_sativa_g019404.t1	429.4	306	https://v10-1.orthodb.org/?query=103267at33090	RecQ-mediated genome instability protein 1
103382at33090	Complete	L_sativa_g017321.t1	325.3	221	https://v10-1.orthodb.org/?query=103382at33090	Oxoglutarate/iron-dependent dioxygenase
104218at33090	Complete	L_sativa_g023602.t1	550.6	295	https://v10-1.orthodb.org/?query=104218at33090	Tryptophan synthase beta subunit-like PLP-dependent enzyme
104557at33090	Complete	L_sativa_g032351.t1	598.6	332	https://v10-1.orthodb.org/?query=104557at33090	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal
104821at33090	Complete	L_sativa_g028637.t1	500.4	310	https://v10-1.orthodb.org/?query=104821at33090	RNA 2-O ribose methyltransferase, substrate binding
104867at33090	Complete	L_sativa_g023356.t1	931.6	590	https://v10-1.orthodb.org/?query=104867at33090	Chorismate-utilising enzyme, C-terminal
105044at33090	Complete	L_sativa_g003348.t1	908.5	565	https://v10-1.orthodb.org/?query=105044at33090	Helicase, C-terminal
105782at33090	Complete	L_sativa_g013266.t1	430.9	273	https://v10-1.orthodb.org/?query=105782at33090	CobW/HypB/UreG, nucleotide-binding domain
105867at33090	Complete	L_sativa_g043510.t1	479.1	302	https://v10-1.orthodb.org/?query=105867at33090	Alcohol dehydrogenase, C-terminal
106769at33090	Complete	L_sativa_g008013.t1	614.5	327	https://v10-1.orthodb.org/?query=106769at33090	Ribosomal protein S5 domain 2-type fold
106886at33090	Complete	L_sativa_g033811.t1	341.5	268	https://v10-1.orthodb.org/?query=106886at33090	Cell division control protein 73, C-terminal
107107at33090	Complete	L_sativa_g037787.t1	475.0	342	https://v10-1.orthodb.org/?query=107107at33090	PUB domain
107413at33090	Complete	L_sativa_g049047.t1	595.5	352	https://v10-1.orthodb.org/?query=107413at33090	GPI mannosyltransferase 1
108705at33090	Complete	L_sativa_g030207.t1	445.8	357	https://v10-1.orthodb.org/?query=108705at33090	Phosphatidylinositol anchor biosynthesis protein PIGW/GWT1
109586at33090	Complete	L_sativa_g047088.t1	778.5	446	https://v10-1.orthodb.org/?query=109586at33090	Aminoacyl-tRNA synthetase, class Ia
109823at33090	Complete	L_sativa_g003062.t1	445.7	261	https://v10-1.orthodb.org/?query=109823at33090	Domain of unknown function DUF1995
110222at33090	Complete	L_sativa_g027372.t1	482.2	364	https://v10-1.orthodb.org/?query=110222at33090	DnaJ domain
110225at33090	Complete	L_sativa_g012240.t1	786.3	468	https://v10-1.orthodb.org/?query=110225at33090	Bacterial bifunctional deaminase-reductase, C-terminal
111210at33090	Complete	L_sativa_g038960.t1	462.1	271	https://v10-1.orthodb.org/?query=111210at33090	HAD superfamily
111213at33090	Complete	L_sativa_g043195.t1	387.4	250	https://v10-1.orthodb.org/?query=111213at33090	NAD-dependent epimerase/dehydratase
