# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
44063at33090	Complete	S_bicolor_g008230.t1	728.6	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	S_bicolor_g009011.t1	709.8	506	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	S_bicolor_g021475.t1	846.3	440	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	S_bicolor_g012784.t1	824.9	426	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Fragmented	S_bicolor_g021106.t1	578.6	277	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	S_bicolor_g006429.t1	639.2	481	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	S_bicolor_g025816.t1	905.6	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	S_bicolor_g012091.t1	407.4	333	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	S_bicolor_g020859.t1	539.3	402	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Duplicated	S_bicolor_g000490.t1	365.0	406	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51214at33090	Duplicated	S_bicolor_g027616.t1	333.6	406	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	S_bicolor_g025560.t1	432.2	402	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	S_bicolor_g010261.t1	595.3	386	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
