# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
90301at33090	Complete	A_thaliana_g000772.t1	684.7	372	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	A_thaliana_g003879.t1	640.8	339	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	A_thaliana_g018802.t1	578.0	293	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	A_thaliana_g014961.t1	373.8	296	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
95807at33090	Complete	A_thaliana_g000525.t1	459.4	352	https://v10-1.orthodb.org/?query=95807at33090	ApaG domain
96953at33090	Complete	A_thaliana_g010444.t1	374.0	270	https://v10-1.orthodb.org/?query=96953at33090	WD40-repeat-containing domain
97593at33090	Complete	A_thaliana_g006668.t1	316.7	287	https://v10-1.orthodb.org/?query=97593at33090	Origin recognition complex subunit 4
101241at33090	Complete	A_thaliana_g013481.t1	523.9	338	https://v10-1.orthodb.org/?query=101241at33090	Actin family
101701at33090	Complete	A_thaliana_g014724.t1	766.3	507	https://v10-1.orthodb.org/?query=101701at33090	Nucleotide-diphospho-sugar transferases
102307at33090	Complete	A_thaliana_g010039.t1	579.6	294	https://v10-1.orthodb.org/?query=102307at33090	WD40 repeat
103267at33090	Complete	A_thaliana_g024707.t1	392.2	276	https://v10-1.orthodb.org/?query=103267at33090	RecQ-mediated genome instability protein 1
103382at33090	Complete	A_thaliana_g005372.t1	326.5	223	https://v10-1.orthodb.org/?query=103382at33090	Oxoglutarate/iron-dependent dioxygenase
104218at33090	Complete	A_thaliana_g004318.t1	554.8	295	https://v10-1.orthodb.org/?query=104218at33090	Tryptophan synthase beta subunit-like PLP-dependent enzyme
104557at33090	Complete	A_thaliana_g000365.t1	537.0	332	https://v10-1.orthodb.org/?query=104557at33090	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal
104821at33090	Complete	A_thaliana_g007640.t1	502.8	307	https://v10-1.orthodb.org/?query=104821at33090	RNA 2-O ribose methyltransferase, substrate binding
104867at33090	Complete	A_thaliana_g008523.t1	907.0	589	https://v10-1.orthodb.org/?query=104867at33090	Chorismate-utilising enzyme, C-terminal
105044at33090	Complete	A_thaliana_g006266.t1	913.9	569	https://v10-1.orthodb.org/?query=105044at33090	Helicase, C-terminal
105782at33090	Complete	A_thaliana_g002527.t1	427.8	263	https://v10-1.orthodb.org/?query=105782at33090	CobW/HypB/UreG, nucleotide-binding domain
105867at33090	Complete	A_thaliana_g024715.t1	491.5	302	https://v10-1.orthodb.org/?query=105867at33090	Alcohol dehydrogenase, C-terminal
106769at33090	Complete	A_thaliana_g008329.t1	615.4	326	https://v10-1.orthodb.org/?query=106769at33090	Ribosomal protein S5 domain 2-type fold
106886at33090	Complete	A_thaliana_g012738.t1	318.3	220	https://v10-1.orthodb.org/?query=106886at33090	Cell division control protein 73, C-terminal
107107at33090	Complete	A_thaliana_g021947.t1	466.2	341	https://v10-1.orthodb.org/?query=107107at33090	PUB domain
107413at33090	Complete	A_thaliana_g021249.t1	607.7	353	https://v10-1.orthodb.org/?query=107413at33090	GPI mannosyltransferase 1
108705at33090	Complete	A_thaliana_g016982.t1	459.6	355	https://v10-1.orthodb.org/?query=108705at33090	Phosphatidylinositol anchor biosynthesis protein PIGW/GWT1
109586at33090	Complete	A_thaliana_g014656.t1	776.1	446	https://v10-1.orthodb.org/?query=109586at33090	Aminoacyl-tRNA synthetase, class Ia
109823at33090	Complete	A_thaliana_g005866.t1	450.4	262	https://v10-1.orthodb.org/?query=109823at33090	Domain of unknown function DUF1995
110222at33090	Complete	A_thaliana_g005090.t1	502.1	363	https://v10-1.orthodb.org/?query=110222at33090	DnaJ domain
110225at33090	Complete	A_thaliana_g013853.t1	787.7	468	https://v10-1.orthodb.org/?query=110225at33090	Bacterial bifunctional deaminase-reductase, C-terminal
111210at33090	Complete	A_thaliana_g011497.t1	471.8	272	https://v10-1.orthodb.org/?query=111210at33090	HAD superfamily
111213at33090	Complete	A_thaliana_g007795.t1	406.7	246	https://v10-1.orthodb.org/?query=111213at33090	NAD-dependent epimerase/dehydratase
111249at33090	Complete	A_thaliana_g020184.t1	385.8	246	https://v10-1.orthodb.org/?query=111249at33090	Predicted protein
111924at33090	Complete	A_thaliana_g024947.t1	421.9	253	https://v10-1.orthodb.org/?query=111924at33090	Ankyrin repeat-containing domain
112238at33090	Duplicated	A_thaliana_g016619.t1	753.1	527	https://v10-1.orthodb.org/?query=112238at33090	Zinc finger, PHD-type
112238at33090	Duplicated	A_thaliana_g016394.t1	764.6	526	https://v10-1.orthodb.org/?query=112238at33090	Zinc finger, PHD-type
112325at33090	Complete	A_thaliana_g010126.t1	358.1	289	https://v10-1.orthodb.org/?query=112325at33090	Sister chromatid cohesion protein Dcc1
112461at33090	Complete	A_thaliana_g018916.t1	655.5	388	https://v10-1.orthodb.org/?query=112461at33090	FAD-linked oxidase, C-terminal
112542at33090	Complete	A_thaliana_g023769.t1	396.9	214	https://v10-1.orthodb.org/?query=112542at33090	Cytochrome C biogenesis protein, transmembrane domain
113024at33090	Missing
114996at33090	Complete	A_thaliana_g020478.t1	1241.3	937	https://v10-1.orthodb.org/?query=114996at33090	Elongator complex protein 1
115240at33090	Complete	A_thaliana_g011739.t1	494.5	312	https://v10-1.orthodb.org/?query=115240at33090	Ubiquitin domain
115992at33090	Complete	A_thaliana_g024827.t1	427.0	255	https://v10-1.orthodb.org/?query=115992at33090	WD40 repeat
116411at33090	Complete	A_thaliana_g018310.t1	367.8	256	https://v10-1.orthodb.org/?query=116411at33090	WD40/YVTN repeat-like-containing domain superfamily
116516at33090	Complete	A_thaliana_g007535.t1	608.9	356	https://v10-1.orthodb.org/?query=116516at33090	SecY/SEC61-alpha family
116585at33090	Complete	A_thaliana_g008272.t1	374.6	284	https://v10-1.orthodb.org/?query=116585at33090	Zinc finger, RING-type
