# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
44526at33090	Complete	A_thaliana_g010579.t1	732.5	506	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	A_thaliana_g017763.t1	850.4	440	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	A_thaliana_g023540.t1	824.0	426	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	A_thaliana_g013245.t1	751.9	451	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	A_thaliana_g022833.t1	657.3	481	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	A_thaliana_g023389.t1	901.0	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	A_thaliana_g022034.t1	393.9	333	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	A_thaliana_g015367.t1	519.3	396	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	A_thaliana_g009221.t1	635.5	414	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	A_thaliana_g002614.t1	469.7	389	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	A_thaliana_g023446.t1	595.4	355	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	A_thaliana_g015734.t1	928.2	455	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	A_thaliana_g011191.t1	743.5	414	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	A_thaliana_g009617.t1	544.1	358	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Missing
55448at33090	Complete	A_thaliana_g022430.t1	811.1	421	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
